"Timestamp","Cinsiyet","Şirketiniz hangi lokasyonda?","Tam zamanlı mı yarı zamanlı mı çalışıyorsunuz?","Çalışma şekliniz nedir?","Şirketinizin çalışan sayısı nedir?","Kaç yıllık deneyiminiz var?","Çalıştığınız Sektor? (Otomotiv, Bankacilik, Saglik vs)","Pozisyonunuzun Ismi?","Pozisyonunuzun Ismi?","Aylık Ortalama Net Maaşınız? (Turk Lirasi)","Yıllık ek net gelirleriniz? (prim bonus ve benzeri gelirlerin toplamı)","Yan haklarınız nelerdir?","Temmuz & Ağustos dönemi zam oranınız nedir?"
"9/25/2024 14:51:28","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","1-3 Yıl","Üretim","Veri giriş ve raporlama","Veri Giriş Ve Raporlama","10.000-20.000 TL","31.000-50.000 TL","Ulaşım Yardımı","Almadım"
"9/25/2024 14:51:40","Kadın","Yurt dışı","Tam zamanlı","Uzaktan","1-49","1-3 Yıl","Diğer","Digital marketing director ","Dijital Pazarlama Direktoru","101.000-120.000 TL","10.000-30.000 TL","Şirket Telefonu","Almadım"
"9/25/2024 14:51:54","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","7-9 Yıl","Otomotiv","Kalite sistem mühendisi","Kalite Sistem Mühendisi","41.000-50.000 TL","31.000-50.000 TL","Özel Sağlık Sigortası, Şirket Telefonu, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Almadım"
"9/25/2024 14:52:06","Kadın","Türkiye","Tam zamanlı","Hybrid","1-49","1-3 Yıl","Diğer","Digital Marketing Specialist","Digital Marketing Specialist","31.000-40.000 TL","10.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 14:52:22","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","1-3 Yıl","Diğer","uzman","Uzman","41.000-50.000 TL","51.000-70.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı, Şirket Telefonu","Almadım"
"9/25/2024 14:52:36","Kadın","Yurt dışı","Tam zamanlı","Hybrid","200 ve ustu","5-7 Yıl","Finans ve Muhasebe","Due Diligence","Due Diligence","71.000-80.000 TL","10.000-30.000 TL","Özel Sağlık Sigortası, Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","%5-%10"
"9/25/2024 14:52:38","Kadın","Türkiye","Tam zamanlı","Ofiste","200 ve ustu","3-5 Yıl","Sağlık ve Tıp","Hemşire","Hemşire","31.000-40.000 TL","31.000-50.000 TL","Yemek Yardımı  (Sodexo, Multinet vs)","%11-%20"
"9/25/2024 14:52:57","Kadın","Türkiye","Tam zamanlı","Ofiste","1-49","0-1 Yıl","Eğitim","Psikolojik Danışman ","Psikolojik Danışman ","10.000-20.000 TL","10.000-30.000 TL","Yemek Yardımı  (Sodexo, Multinet vs)","Almadım"
"9/25/2024 14:53:05","Kadın","Türkiye","Tam zamanlı","Uzaktan","1-49","1-3 Yıl","Diğer","Sosyal Medya Uzmanı","Sosyal Medya Uzmanı","31.000-40.000 TL","10.000-30.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","%36-%50"
"9/25/2024 14:53:06","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","1-3 Yıl","Finans ve Muhasebe","İş analisti ","İş Analisti ","31.000-40.000 TL","91.000-110.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","Almadım"
"9/25/2024 14:53:09","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","0-1 Yıl","Telekomünikasyon","Çağrı Merkezi Müşteri Temsilcisi","Çağrı Merkezi Müşteri Temsilcisi","10.000-20.000 TL","10.000-30.000 TL","Yemek Yardımı  (Sodexo, Multinet vs), Ulaşım Yardımı","Almadım"
"9/25/2024 14:53:11","Kadın","Türkiye","Tam zamanlı","Hybrid","200 ve ustu","1-3 Yıl","Finans ve Muhasebe","Associate financial planning manager","Associate Financial Planning Manager","41.000-50.000 TL","111.000-150.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Şirket Telefonu","%21-%35"
"9/25/2024 14:53:12","Erkek","Türkiye","Tam zamanlı","Uzaktan","200 ve ustu","1-3 Yıl","Finans ve Muhasebe","İş analisti","İş Analisti","71.000-80.000 TL","71.000-90.000 TL","Özel Sağlık Sigortası, Yemek Yardımı  (Sodexo, Multinet vs), Kişisel Gelişim Ödenekleri (Eğitim, kişisel gelişim vb için harcama bütçesi)","Henuz belli degil"
"9/25/2024 14:53:31","Kadın","Türkiye","Tam zamanlı","Hybrid","50-99","7-9 Yıl","Üretim","Demand planner","Demand Planner","51.000-60.000 TL","10.000-30.000 TL","Özel Sağlık Sigortası, Ulaşım Yardımı","Almadım"
